时间,今值,预测值
2002年1月1日 (十二月)17:00,4.87B, 
2001年12月1日 (十一月)17:00,5.66B, 
2001年11月1日 (十月)17:00,3.79B, 
2001年10月1日 (九月)17:00,4.91B, 
2001年9月1日 (八月)17:00,4.63B, 
2001年8月1日 (七月)17:00,5.25B, 
2001年7月1日 (六月)17:00,5.28B, 
2001年6月1日 (五月)17:00,6.40B, 
2001年5月1日 (四月)17:00,6.57B, 
2001年4月1日 (三月)17:00,6.96B, 
2001年3月1日 (二月)17:00,6.67B, 
2001年2月1日 (一月)17:00,8.52B, 
2001年1月1日 (十二月)17:00,7.04B, 
2000年12月1日 (十一月)17:00,5.91B, 
2000年11月1日 (十月)17:00,6.33B, 
2000年10月1日 (九月)17:00,5.90B, 
2000年9月1日 (八月)17:00,5.61B, 
2000年8月1日 (七月)17:00,5.45B, 
2000年7月1日 (六月)17:00,6.51B, 
2000年6月1日 (五月)17:00,5.16B, 
2000年5月1日 (四月)17:00,4.25B, 
2000年4月1日 (三月)17:00,4.96B, 
2000年3月1日 (二月)17:00,4.22B, 
2000年2月1日 (一月)17:00,4.74B, 
2000年1月1日 (十二月)17:00,3.57B, 
1999年12月1日 (十一月)17:00,4.18B, 
1999年11月1日 (十月)17:00,3.31B, 
1999年10月1日 (九月)17:00,3.56B, 
1999年9月1日 (八月)17:00,4.60B, 
1999年8月1日 (七月)17:00,3.80B, 
1999年7月1日 (六月)17:00,3.43B, 
1999年6月1日 (五月)17:00,2.86B, 
1999年5月1日 (四月)17:00,3.07B, 
1999年4月1日 (三月)17:00,2.94B, 
1999年3月1日 (二月)17:00,2.76B, 
1999年2月1日 (一月)17:00,3.12B, 
1999年1月1日 (十二月)17:00,2.35B, 
1998年12月1日 (十一月)17:00,2.15B, 
1998年11月1日 (十月)17:00,2.11B, 
1998年10月1日 (九月)17:00,2.29B, 
1998年9月1日 (八月)17:00,2.33B, 
1998年8月1日 (七月)17:00,2.07B, 
1998年7月1日 (六月)17:00,1.42B, 
1998年6月1日 (五月)17:00,1.54B, 
1998年5月1日 (四月)17:00,2.01B, 
1998年4月1日 (三月)17:00,1.80B, 
1998年3月1日 (二月)17:00,1.77B, 
1998年2月1日 (一月)17:00,1.37B, 
1998年1月1日 (十二月)17:00,2.08B, 
1997年12月1日 (十一月)17:00,1.87B, 
1997年11月1日 (十月)17:00,1.09B, 
1997年10月1日 (九月)17:00,1.74B, 
1997年9月1日 (八月)17:00,1.51B, 
1997年8月1日 (七月)17:00,2.00B, 
1997年7月1日 (六月)17:00,1.74B, 
1997年6月1日 (五月)17:00,2.14B, 
1997年5月1日 (四月)17:00,2.17B, 
1997年4月1日 (三月)17:00,2.70B, 
1997年3月1日 (二月)17:00,2.94B, 
1997年2月1日 (一月)17:00,3.09B, 
1997年1月1日 (十二月)17:00,3.43B, 
1996年12月1日 (十一月)17:00,2.75B, 
1996年11月1日 (十月)17:00,2.76B, 
1996年10月1日 (九月)17:00,3.52B, 
1996年9月1日 (八月)17:00,4.33B, 
1996年8月1日 (七月)17:00,3.69B, 
1996年7月1日 (六月)17:00,3.73B, 
1996年6月1日 (五月)17:00,4.56B, 
1996年5月1日 (四月)17:00,3.85B, 
1996年4月1日 (三月)17:00,3.08B, 
1996年3月1日 (二月)17:00,2.85B, 
1996年2月1日 (一月)17:00,3.36B, 
1996年1月1日 (十二月)17:00,3.73B, 
1995年12月1日 (十一月)17:00,3.41B, 
1995年11月1日 (十月)17:00,3.58B, 
1995年10月1日 (九月)17:00,3.47B, 
1995年9月1日 (八月)17:00,3.12B, 
1995年8月1日 (七月)17:00,1.89B, 
1995年7月1日 (六月)17:00,2.67B, 
1995年6月1日 (五月)17:00,2.06B, 
1995年5月1日 (四月)17:00,2.66B, 
1995年4月1日 (三月)17:00,2.61B, 
1995年3月1日 (二月)17:00,3.19B, 
1995年2月1日 (一月)17:00,2.72B, 
1995年1月1日 (十二月)17:00,1.85B, 
1994年12月1日 (十一月)17:00,2.40B, 
1994年11月1日 (十月)17:00,1.88B, 
1994年10月1日 (九月)17:00,1.87B, 
1994年9月1日 (八月)17:00,1.57B, 
1994年8月1日 (七月)17:00,2.87B, 
1994年7月1日 (六月)17:00,1.63B, 
1994年6月1日 (五月)17:00,0.92B, 
1994年5月1日 (四月)17:00,1.39B, 
1994年4月1日 (三月)17:00,1.44B, 
1994年3月1日 (二月)17:00,1.31B, 
1994年2月1日 (一月)17:00,0.90B, 
1994年1月1日 (十二月)17:00,0.73B, 
1993年12月1日 (十一月)17:00,1.04B, 
1993年11月1日 (十月)17:00,1.12B, 
1993年10月1日 (九月)17:00,1.42B, 
1993年9月1日 (八月)17:00,0.77B, 
1993年8月1日 (七月)17:00,0.73B, 
1993年7月1日 (六月)17:00,1.40B, 
1993年6月1日 (五月)17:00,1.16B, 
1993年5月1日 (四月)17:00,1.00B, 
1993年4月1日 (三月)17:00,1.13B, 
1993年3月1日 (二月)17:00,1.10B, 
1993年2月1日 (一月)17:00,1.34B, 
