时间,今值,预测值
2000年8月1日 (七月)17:00,143.00, 
2000年7月1日 (六月)17:00,139.20, 
2000年6月1日 (五月)17:00,144.70, 
2000年5月1日 (四月)17:00,137.70, 
2000年4月1日 (三月)17:00,137.10, 
2000年3月1日 (二月)17:00,140.80, 
2000年2月1日 (一月)17:00,144.70, 
2000年1月1日 (十二月)17:00,141.70, 
1999年12月1日 (十一月)17:00,137.00, 
1999年11月1日 (十月)17:00,130.50, 
1999年10月1日 (九月)17:00,134.20, 
1999年9月1日 (八月)17:00,136.00, 
1999年8月1日 (七月)17:00,136.20, 
1999年7月1日 (六月)17:00,139.00, 
1999年6月1日 (五月)17:00,137.70, 
1999年5月1日 (四月)17:00,135.50, 
1999年4月1日 (三月)17:00,134.00, 
1999年3月1日 (二月)17:00,133.10, 
1999年2月1日 (一月)17:00,128.90, 
1999年1月1日 (十二月)17:00,126.70, 
1998年12月1日 (十一月)17:00,126.40, 
1998年11月1日 (十月)17:00,119.30, 
1998年10月1日 (九月)17:00,126.40, 
1998年9月1日 (八月)17:00,133.10, 
1998年8月1日 (七月)17:00,137.20, 
1998年7月1日 (六月)17:00,138.20, 
1998年6月1日 (五月)17:00,136.30, 
1998年5月1日 (四月)17:00,137.20, 
1998年4月1日 (三月)17:00,133.80, 
1998年3月1日 (二月)17:00,137.40, 
1998年2月1日 (一月)17:00,128.30, 
1998年1月1日 (十二月)17:00,136.20, 
1997年12月1日 (十一月)17:00,128.10, 
1997年11月1日 (十月)17:00,123.40, 
1997年10月1日 (九月)17:00,130.20, 
1997年9月1日 (八月)17:00,127.60, 
1997年8月1日 (七月)17:00,126.30, 
1997年7月1日 (六月)17:00,129.90, 
1997年6月1日 (五月)17:00,127.90, 
1997年5月1日 (四月)17:00,118.50, 
1997年4月1日 (三月)17:00,118.50, 
1997年3月1日 (二月)17:00,118.90, 
1997年2月1日 (一月)17:00,118.70, 
1997年1月1日 (十二月)17:00,114.20, 
1996年12月1日 (十一月)17:00,109.50, 
1996年11月1日 (十月)17:00,107.30, 
1996年10月1日 (九月)17:00,111.80, 
1996年9月1日 (八月)17:00,112.00, 
1996年8月1日 (七月)17:00,107.00, 
1996年7月1日 (六月)17:00,100.10, 
1996年6月1日 (五月)17:00,103.50, 
1996年5月1日 (四月)17:00,104.80, 
1996年4月1日 (三月)17:00,98.40, 
1996年3月1日 (二月)17:00,98.00, 
1996年2月1日 (一月)17:00,88.40, 
1996年1月1日 (十二月)17:00,99.20, 
1995年12月1日 (十一月)17:00,101.60, 
1995年11月1日 (十月)17:00,96.30, 
1995年10月1日 (九月)17:00,97.30, 
1995年9月1日 (八月)17:00,102.40, 
1995年8月1日 (七月)17:00,101.40, 
1995年7月1日 (六月)17:00,94.60, 
1995年6月1日 (五月)17:00,102.00, 
1995年5月1日 (四月)17:00,104.60, 
1995年4月1日 (三月)17:00,100.20, 
1995年3月1日 (二月)17:00,99.40, 
1995年2月1日 (一月)17:00,101.40, 
1995年1月1日 (十二月)17:00,103.40, 
1994年12月1日 (十一月)17:00,100.40, 
1994年11月1日 (十月)17:00,89.10, 
1994年10月1日 (九月)17:00,89.50, 
1994年9月1日 (八月)17:00,90.40, 
1994年8月1日 (七月)17:00,91.30, 
1994年7月1日 (六月)17:00,92.50, 
1994年6月1日 (五月)17:00,88.90, 
1994年5月1日 (四月)17:00,92.10, 
1994年4月1日 (三月)17:00,86.70, 
1994年3月1日 (二月)17:00,79.90, 
1994年2月1日 (一月)17:00,82.60, 
1994年1月1日 (十二月)17:00,79.80, 
1993年12月1日 (十一月)17:00,71.90, 
1993年11月1日 (十月)17:00,60.50, 
1993年10月1日 (九月)17:00,63.80, 
1993年9月1日 (八月)17:00,59.30, 
1993年8月1日 (七月)17:00,59.20, 
1993年7月1日 (六月)17:00,58.60, 
1993年6月1日 (五月)17:00,61.90, 
1993年5月1日 (四月)17:00,67.60, 
1993年4月1日 (三月)17:00,63.20, 
1993年3月1日 (二月)17:00,68.50, 
1993年2月1日 (一月)17:00,76.70, 
1993年1月1日 (十二月)17:00,78.10, 
1992年12月1日 (十一月)17:00,65.60, 
1992年11月1日 (十月)17:00,54.60, 
1992年10月1日 (九月)17:00,57.30, 
1992年9月1日 (八月)17:00,59.00, 
1992年8月1日 (七月)17:00,61.20, 
1992年7月1日 (六月)17:00,72.60, 
1992年6月1日 (五月)17:00,71.90, 
1992年5月1日 (四月)17:00,65.10, 
1992年4月1日 (三月)17:00,56.50, 
