时间,今值,预测值
1994年9月1日 (八月)17:00,16.70K, 
1994年8月1日 (七月)17:00,57.00K, 
1994年7月1日 (六月)17:00,29.10K, 
1994年6月1日 (五月)17:00,71.70K, 
1994年5月1日 (四月)17:00,12.10K, 
1994年4月1日 (三月)17:00,39.10K, 
1994年3月1日 (二月)17:00,33.10K, 
1994年2月1日 (一月)17:00,8.00K, 
1994年1月1日 (十二月)17:00,-25.50K, 
1993年12月1日 (十一月)17:00,48.60K, 
1993年11月1日 (十月)17:00,-15.20K, 
1993年10月1日 (九月)17:00,32.40K, 
1993年9月1日 (八月)17:00,18.50K, 
1993年8月1日 (七月)17:00,9.60K, 
1993年7月1日 (六月)17:00,24.10K, 
1993年6月1日 (五月)17:00,7.10K, 
1993年5月1日 (四月)17:00,-31.90K, 
1993年4月1日 (三月)17:00,17.50K, 
1993年3月1日 (二月)17:00,8.20K, 
1993年2月1日 (一月)17:00,33.10K, 
1993年1月1日 (十二月)17:00,17.10K, 
1992年12月1日 (十一月)17:00,-8.20K, 
1992年11月1日 (十月)17:00,12.90K, 
1992年10月1日 (九月)17:00,6.40K, 
1992年9月1日 (八月)17:00,-38.80K, 
1992年8月1日 (七月)17:00,15.20K, 
1992年7月1日 (六月)17:00,-19.30K, 
1992年6月1日 (五月)17:00,5.70K, 
1992年5月1日 (四月)17:00,-14.00K, 
1992年4月1日 (三月)17:00,-26.40K, 
1992年3月1日 (二月)17:00,-18.90K, 
1992年2月1日 (一月)17:00,-20.00K, 
1992年1月1日 (十二月)17:00,-13.00K, 
1991年12月1日 (十一月)17:00,-37.80K, 
1991年11月1日 (十月)17:00,5.60K, 
1991年10月1日 (九月)17:00,-20.80K, 
1991年9月1日 (八月)17:00,3.90K, 
1991年8月1日 (七月)17:00,-14.00K, 
1991年7月1日 (六月)17:00,6.40K, 
1991年6月1日 (五月)17:00,29.20K, 
1991年5月1日 (四月)17:00,41.50K, 
1991年4月1日 (三月)17:00,-35.90K, 
1991年3月1日 (二月)17:00,-49.10K, 
1991年2月1日 (一月)17:00,-40.50K, 
1991年1月1日 (十二月)17:00,-50.60K, 
1990年12月1日 (十一月)17:00,-54.00K, 
1990年11月1日 (十月)17:00,-50.20K, 
1990年10月1日 (九月)17:00,-10.80K, 
1990年9月1日 (八月)17:00,-13.30K, 
1990年8月1日 (七月)17:00,-20.80K, 
1990年7月1日 (六月)17:00,32.50K, 
1990年6月1日 (五月)17:00,-39.40K, 
1990年5月1日 (四月)17:00,15.20K, 
1990年4月1日 (三月)17:00,-8.80K, 
1990年3月1日 (二月)17:00,33.50K, 
1990年2月1日 (一月)17:00,34.60K, 
1990年1月1日 (十二月)17:00,7.10K, 
1989年12月1日 (十一月)17:00,25.20K, 
1989年11月1日 (十月)17:00,5.00K, 
1989年10月1日 (九月)17:00,0.40K, 
1989年9月1日 (八月)17:00,49.30K, 
1989年8月1日 (七月)17:00,0.40K, 
1989年7月1日 (六月)17:00,17.20K, 
1989年6月1日 (五月)17:00,2.30K, 
1989年5月1日 (四月)17:00,-22.50K, 
1989年4月1日 (三月)17:00,45.60K, 
1989年3月1日 (二月)17:00,14.80K, 
1989年2月1日 (一月)17:00,72.60K, 
1989年1月1日 (十二月)17:00,53.60K, 
1988年12月1日 (十一月)17:00,30.80K, 
1988年11月1日 (十月)17:00,32.20K, 
1988年10月1日 (九月)17:00,12.80K, 
1988年9月1日 (八月)17:00,8.20K, 
1988年8月1日 (七月)17:00,13.70K, 
1988年7月1日 (六月)17:00,18.40K, 
1988年6月1日 (五月)17:00,3.70K, 
1988年5月1日 (四月)17:00,13.40K, 
1988年4月1日 (三月)17:00,20.00K, 
1988年3月1日 (二月)17:00,40.70K, 
1988年2月1日 (一月)17:00,18.60K, 
1988年1月1日 (十二月)17:00,63.90K, 
1987年12月1日 (十一月)17:00,32.00K, 
1987年11月1日 (十月)17:00,65.50K, 
1987年10月1日 (九月)17:00,45.70K, 
1987年9月1日 (八月)17:00,30.70K, 
1987年8月1日 (七月)17:00,26.10K, 
1987年7月1日 (六月)17:00,33.70K, 
1987年6月1日 (五月)17:00,56.20K, 
1987年5月1日 (四月)17:00,47.50K, 
1987年4月1日 (三月)17:00,50.60K, 
1987年3月1日 (二月)17:00,29.40K, 
1987年2月1日 (一月)17:00,22.30K, 
1987年1月1日 (十二月)17:00,-2.30K, 
1986年12月1日 (十一月)17:00,22.40K, 
1986年11月1日 (十月)17:00,24.40K, 
1986年10月1日 (九月)17:00,10.50K, 
1986年9月1日 (八月)17:00,7.60K, 
1986年8月1日 (七月)17:00,0.20K, 
1986年7月1日 (六月)17:00,39.70K, 
1986年6月1日 (五月)17:00,-30.90K, 
1986年5月1日 (四月)17:00,81.80K, 
1986年4月1日 (三月)17:00,8.40K, 
1986年3月1日 (二月)17:00,14.40K, 
1986年2月1日 (一月)17:00,43.00K, 
1986年1月1日 (十二月)17:00,41.50K, 
1985年12月1日 (十一月)17:00,65.00K, 
1985年11月1日 (十月)17:00,30.70K, 
1985年10月1日 (九月)17:00,11.20K, 
1985年9月1日 (八月)17:00,31.00K, 
1985年8月1日 (七月)17:00,54.10K, 
1985年7月1日 (六月)17:00,13.30K, 
1985年6月1日 (五月)17:00,42.20K, 
1985年5月1日 (四月)17:00,40.10K, 
1985年4月1日 (三月)17:00,25.10K, 
1985年3月1日 (二月)17:00,24.60K, 
1985年2月1日 (一月)17:00,51.40K, 
1985年1月1日 (十二月)17:00,39.20K, 
1984年12月1日 (十一月)17:00,3.40K, 
1984年11月1日 (十月)17:00,13.90K, 
1984年10月1日 (九月)17:00,24.50K, 
1984年9月1日 (八月)17:00,-7.30K, 
1984年8月1日 (七月)17:00,42.10K, 
1984年7月1日 (六月)17:00,69.00K, 
1984年6月1日 (五月)17:00,47.00K, 
1984年5月1日 (四月)17:00,-7.40K, 
1984年4月1日 (三月)17:00,2.00K, 
1984年3月1日 (二月)17:00,35.30K, 
1984年2月1日 (一月)17:00,-18.80K, 
1984年1月1日 (十二月)17:00,25.40K, 
1983年12月1日 (十一月)17:00,-1.30K, 
1983年11月1日 (十月)17:00,-10.90K, 
1983年10月1日 (九月)17:00,47.60K, 
1983年9月1日 (八月)17:00,53.20K, 
1983年8月1日 (七月)17:00,52.00K, 
1983年7月1日 (六月)17:00,68.90K, 
1983年6月1日 (五月)17:00,19.90K, 
1983年5月1日 (四月)17:00,57.70K, 
1983年4月1日 (三月)17:00,56.70K, 
1983年3月1日 (二月)17:00,17.10K, 
1983年2月1日 (一月)17:00,27.00K, 
1983年1月1日 (十二月)17:00,10.00K, 
1982年12月1日 (十一月)17:00,-23.10K, 
1982年11月1日 (十月)17:00,-19.50K, 
1982年10月1日 (九月)17:00,-29.60K, 
1982年9月1日 (八月)17:00,-57.30K, 
1982年8月1日 (七月)17:00,-47.00K, 
1982年7月1日 (六月)17:00,-81.30K, 
1982年6月1日 (五月)17:00,-54.40K, 
1982年5月1日 (四月)17:00,-64.20K, 
1982年4月1日 (三月)17:00,-26.40K, 
1982年3月1日 (二月)17:00,-38.70K, 
1982年2月1日 (一月)17:00,-30.40K, 
1982年1月1日 (十二月)17:00,-55.50K, 
1981年12月1日 (十一月)17:00,-8.60K, 
1981年11月1日 (十月)17:00,-28.60K, 
1981年10月1日 (九月)17:00,-25.10K, 
1981年9月1日 (八月)17:00,17.40K, 
1981年8月1日 (七月)17:00,-39.20K, 
1981年7月1日 (六月)17:00,29.80K, 
1981年6月1日 (五月)17:00,30.00K, 
1981年5月1日 (四月)17:00,37.10K, 
1981年4月1日 (三月)17:00,-4.60K, 
1981年3月1日 (二月)17:00,76.80K, 
1981年2月1日 (一月)17:00,66.50K, 
1981年1月1日 (十二月)17:00,13.00K, 
1980年12月1日 (十一月)17:00,43.90K, 
1980年11月1日 (十月)17:00,31.20K, 
1980年10月1日 (九月)17:00,81.60K, 
1980年9月1日 (八月)17:00,35.30K, 
1980年8月1日 (七月)17:00,-1.80K, 
1980年7月1日 (六月)17:00,45.20K, 
1980年6月1日 (五月)17:00,-46.70K, 
1980年5月1日 (四月)17:00,40.50K, 
1980年4月1日 (三月)17:00,-5.10K, 
1980年3月1日 (二月)17:00,20.30K, 
1980年2月1日 (一月)17:00,22.70K, 
1980年1月1日 (十二月)17:00,18.60K, 
1979年12月1日 (十一月)17:00,32.30K, 
1979年11月1日 (十月)17:00,52.50K, 
1979年10月1日 (九月)17:00,14.40K, 
1979年9月1日 (八月)17:00,40.00K, 
1979年8月1日 (七月)17:00,56.70K, 
1979年7月1日 (六月)17:00,34.00K, 
1979年6月1日 (五月)17:00,50.60K, 
1979年5月1日 (四月)17:00,24.90K, 
1979年4月1日 (三月)17:00,45.90K, 
1979年3月1日 (二月)17:00,6.90K, 
1979年2月1日 (一月)17:00,54.80K, 
1979年1月1日 (十二月)17:00,41.10K, 
1978年12月1日 (十一月)17:00,18.40K, 
1978年11月1日 (十月)17:00,63.30K, 
1978年10月1日 (九月)17:00,18.00K, 
1978年9月1日 (八月)17:00,32.50K, 
1978年8月1日 (七月)17:00,47.40K, 
1978年7月1日 (六月)17:00,60.90K, 
1978年6月1日 (五月)17:00,18.00K, 
1978年5月1日 (四月)17:00,28.40K, 
1978年4月1日 (三月)17:00,32.80K, 
1978年3月1日 (二月)17:00,54.50K, 
1978年2月1日 (一月)17:00,10.70K, 
1978年1月1日 (十二月)17:00,26.00K, 
1977年12月1日 (十一月)17:00,14.20K, 
1977年11月1日 (十月)17:00,25.10K, 
1977年10月1日 (九月)17:00,0.40K, 
1977年9月1日 (八月)17:00,25.20K, 
1977年8月1日 (七月)17:00,4.50K, 
1977年7月1日 (六月)17:00,-5.10K, 
1977年6月1日 (五月)17:00,19.40K, 
1977年5月1日 (四月)17:00,26.90K, 
1977年4月1日 (三月)17:00,-8.50K, 
1977年3月1日 (二月)17:00,4.90K, 
1977年2月1日 (一月)17:00,6.70K, 
1977年1月1日 (十二月)17:00,33.60K, 
1976年12月1日 (十一月)17:00,46.50K, 
1976年11月1日 (十月)17:00,-12.70K, 
1976年10月1日 (九月)17:00,14.70K, 
1976年9月1日 (八月)17:00,21.00K, 
1976年8月1日 (七月)17:00,11.20K, 
1976年7月1日 (六月)17:00,22.20K, 
1976年6月1日 (五月)17:00,-12.10K, 
1976年5月1日 (四月)17:00,34.00K, 
1976年4月1日 (三月)17:00,44.40K, 
1976年3月1日 (二月)17:00,23.10K, 
