时间,今值,预测值
1998年9月1日 (八月)17:00,-3.30K, 
1998年8月1日 (七月)17:00,-0.20K, 
1998年7月1日 (六月)17:00,-5.80K, 
1998年6月1日 (五月)17:00,-9.40K, 
1998年5月1日 (四月)17:00,-5.50K, 
1998年4月1日 (三月)17:00,-15.80K, 
1998年3月1日 (二月)17:00,-19.80K, 
1998年2月1日 (一月)17:00,-10.00K, 
1998年1月1日 (十二月)17:00,-21.20K, 
1997年12月1日 (十一月)17:00,-32.40K, 
1997年11月1日 (十月)17:00,-33.70K, 
1997年10月1日 (九月)17:00,-28.70K, 
1997年9月1日 (八月)17:00,-27.60K, 
1997年8月1日 (七月)17:00,-17.40K, 
1997年7月1日 (六月)17:00,-48.10K, 
1997年6月1日 (五月)17:00,-43.00K, 
1997年5月1日 (四月)17:00,-41.70K, 
1997年4月1日 (三月)17:00,-48.50K, 
1997年3月1日 (二月)17:00,-65.60K, 
1997年2月1日 (一月)17:00,-53.70K, 
1997年1月1日 (十二月)17:00,-31.80K, 
1996年12月1日 (十一月)17:00,-98.50K, 
1996年11月1日 (十月)17:00,-41.40K, 
1996年10月1日 (九月)17:00,-39.20K, 
1996年9月1日 (八月)17:00,-20.40K, 
1996年8月1日 (七月)17:00,-31.10K, 
1996年7月1日 (六月)17:00,-18.50K, 
1996年6月1日 (五月)17:00,-18.10K, 
1996年5月1日 (四月)17:00,-8.00K, 
1996年4月1日 (三月)17:00,-26.10K, 
1996年3月1日 (二月)17:00,6.80K, 
1996年2月1日 (一月)17:00,-23.40K, 
1996年1月1日 (十二月)17:00,-7.00K, 
1995年12月1日 (十一月)17:00,-9.90K, 
1995年11月1日 (十月)17:00,4.80K, 
1995年10月1日 (九月)17:00,-26.80K, 
1995年9月1日 (八月)17:00,-22.80K, 
1995年8月1日 (七月)17:00,-10.50K, 
1995年7月1日 (六月)17:00,-13.10K, 
1995年6月1日 (五月)17:00,-12.50K, 
1995年5月1日 (四月)17:00,-22.30K, 
1995年4月1日 (三月)17:00,-16.70K, 
1995年3月1日 (二月)17:00,-28.70K, 
1995年2月1日 (一月)17:00,-20.10K, 
1995年1月1日 (十二月)17:00,-46.10K, 
1994年12月1日 (十一月)17:00,-31.40K, 
1994年11月1日 (十月)17:00,-39.60K, 
1994年10月1日 (九月)17:00,-28.70K, 
1994年9月1日 (八月)17:00,-40.30K, 
1994年8月1日 (七月)17:00,-31.40K, 
1994年7月1日 (六月)17:00,-27.70K, 
1994年6月1日 (五月)17:00,-23.70K, 
1994年5月1日 (四月)17:00,-35.70K, 
1994年4月1日 (三月)17:00,-22.20K, 
1994年3月1日 (二月)17:00,-31.80K, 
1994年2月1日 (一月)17:00,1.20K, 
1994年1月1日 (十二月)17:00,-29.50K, 
1993年12月1日 (十一月)17:00,-29.60K, 
1993年11月1日 (十月)17:00,-32.00K, 
1993年10月1日 (九月)17:00,-18.90K, 
1993年9月1日 (八月)17:00,-3.30K, 
1993年8月1日 (七月)17:00,-23.70K, 
1993年7月1日 (六月)17:00,-7.60K, 
1993年6月1日 (五月)17:00,-16.10K, 
1993年5月1日 (四月)17:00,2.40K, 
1993年4月1日 (三月)17:00,-7.50K, 
1993年3月1日 (二月)17:00,-6.90K, 
1993年2月1日 (一月)17:00,-22.80K, 
1993年1月1日 (十二月)17:00,71.40K, 
1992年12月1日 (十一月)17:00,40.50K, 
1992年11月1日 (十月)17:00,40.70K, 
1992年10月1日 (九月)17:00,30.00K, 
1992年9月1日 (八月)17:00,44.50K, 
1992年8月1日 (七月)17:00,22.10K, 
1992年7月1日 (六月)17:00,14.40K, 
1992年6月1日 (五月)17:00,31.70K, 
1992年5月1日 (四月)17:00,28.90K, 
1992年4月1日 (三月)17:00,27.00K, 
1992年3月1日 (二月)17:00,44.70K, 
1992年2月1日 (一月)17:00,28.50K, 
1992年1月1日 (十二月)17:00,31.10K, 
1991年12月1日 (十一月)17:00,34.70K, 
1991年11月1日 (十月)17:00,35.20K, 
1991年10月1日 (九月)17:00,43.60K, 
1991年9月1日 (八月)17:00,50.00K, 
1991年8月1日 (七月)17:00,66.60K, 
1991年7月1日 (六月)17:00,68.80K, 
1991年6月1日 (五月)17:00,62.30K, 
1991年5月1日 (四月)17:00,64.00K, 
1991年4月1日 (三月)17:00,118.70K, 
1991年3月1日 (二月)17:00,89.80K, 
1991年2月1日 (一月)17:00,24.60K, 
1991年1月1日 (十二月)17:00,73.00K, 
1990年12月1日 (十一月)17:00,47.60K, 
1990年11月1日 (十月)17:00,45.40K, 
1990年10月1日 (九月)17:00,45.30K, 
1990年9月1日 (八月)17:00,28.20K, 
1990年8月1日 (七月)17:00,22.70K, 
1990年7月1日 (六月)17:00,16.80K, 
1990年6月1日 (五月)17:00,-2.70K, 
1990年5月1日 (四月)17:00,-13.90K, 
1990年4月1日 (三月)17:00,-12.90K, 
1990年3月1日 (二月)17:00,-8.90K, 
1990年2月1日 (一月)17:00,-23.60K, 
1990年1月1日 (十二月)17:00,-19.20K, 
1989年12月1日 (十一月)17:00,-23.00K, 
1989年11月1日 (十月)17:00,-13.30K, 
1989年10月1日 (九月)17:00,-20.20K, 
1989年9月1日 (八月)17:00,-37.80K, 
1989年8月1日 (七月)17:00,-19.30K, 
1989年7月1日 (六月)17:00,-25.50K, 
1989年6月1日 (五月)17:00,-32.80K, 
1989年5月1日 (四月)17:00,-56.30K, 
1989年4月1日 (三月)17:00,-41.30K, 
1989年3月1日 (二月)17:00,-49.10K, 
1989年2月1日 (一月)17:00,-38.50K, 
1989年1月1日 (十二月)17:00,-63.20K, 
1988年12月1日 (十一月)17:00,-51.00K, 
1988年11月1日 (十月)17:00,-36.40K, 
1988年10月1日 (九月)17:00,-20.40K, 
1988年9月1日 (八月)17:00,-37.60K, 
1988年8月1日 (七月)17:00,-57.40K, 
1988年7月1日 (六月)17:00,-45.40K, 
1988年6月1日 (五月)17:00,-45.20K, 
1988年5月1日 (四月)17:00,-43.20K, 
1988年4月1日 (三月)17:00,-43.80K, 
1988年3月1日 (二月)17:00,-39.20K, 
1988年2月1日 (一月)17:00,-47.20K, 
1988年1月1日 (十二月)17:00,-29.80K, 
1987年12月1日 (十一月)17:00,-55.40K, 
1987年11月1日 (十月)17:00,-56.60K, 
1987年10月1日 (九月)17:00,-43.40K, 
1987年9月1日 (八月)17:00,-43.00K, 
1987年8月1日 (七月)17:00,-43.70K, 
1987年7月1日 (六月)17:00,-38.00K, 
1987年6月1日 (五月)17:00,-65.40K, 
1987年5月1日 (四月)17:00,-13.50K, 
1987年4月1日 (三月)17:00,-41.80K, 
1987年3月1日 (二月)17:00,-48.50K, 
1987年2月1日 (一月)17:00,-6.50K, 
1987年1月1日 (十二月)17:00,-24.20K, 
1986年12月1日 (十一月)17:00,-7.10K, 
1986年11月1日 (十月)17:00,-19.30K, 
1986年10月1日 (九月)17:00,-15.60K, 
1986年9月1日 (八月)17:00,-2.40K, 
1986年8月1日 (七月)17:00,4.20K, 
1986年7月1日 (六月)17:00,1.40K, 
1986年6月1日 (五月)17:00,8.10K, 
1986年5月1日 (四月)17:00,-9.80K, 
1986年4月1日 (三月)17:00,32.90K, 
1986年3月1日 (二月)17:00,8.70K, 
1986年2月1日 (一月)17:00,11.10K, 
1986年1月1日 (十二月)17:00,20.80K, 
1985年12月1日 (十一月)17:00,1.30K, 
1985年11月1日 (十月)17:00,6.50K, 
1985年10月1日 (九月)17:00,7.30K, 
1985年9月1日 (八月)17:00,2.40K, 
1985年8月1日 (七月)17:00,6.60K, 
1985年7月1日 (六月)17:00,-12.20K, 
1985年6月1日 (五月)17:00,2.40K, 
1985年5月1日 (四月)17:00,21.20K, 
1985年4月1日 (三月)17:00,-5.70K, 
1985年3月1日 (二月)17:00,17.90K, 
1985年2月1日 (一月)17:00,9.20K, 
1985年1月1日 (十二月)17:00,6.60K, 
1984年12月1日 (十一月)17:00,12.50K, 
1984年11月1日 (十月)17:00,11.60K, 
1984年10月1日 (九月)17:00,31.30K, 
1984年9月1日 (八月)17:00,8.80K, 
1984年8月1日 (七月)17:00,16.40K, 
1984年7月1日 (六月)17:00,4.60K, 
1984年6月1日 (五月)17:00,16.40K, 
1984年5月1日 (四月)17:00,-10.20K, 
1984年4月1日 (三月)17:00,11.00K, 
1984年3月1日 (二月)17:00,23.00K, 
1984年2月1日 (一月)17:00,10.00K, 
1984年1月1日 (十二月)17:00,12.20K, 
1983年12月1日 (十一月)17:00,9.00K, 
1983年11月1日 (十月)17:00,4.70K, 
1983年10月1日 (九月)17:00,13.80K, 
1983年9月1日 (八月)17:00,-8.60K, 
1983年8月1日 (七月)17:00,2.70K, 
1983年7月1日 (六月)17:00,23.40K, 
1983年6月1日 (五月)17:00,16.90K, 
1983年5月1日 (四月)17:00,16.20K, 
1983年4月1日 (三月)17:00,23.60K, 
1983年3月1日 (二月)17:00,8.80K, 
1983年2月1日 (一月)17:00,17.30K, 
1983年1月1日 (十二月)17:00,31.10K, 
1982年12月1日 (十一月)17:00,26.60K, 
1982年11月1日 (十月)17:00,33.30K, 
1982年10月1日 (九月)17:00,28.30K, 
1982年9月1日 (八月)17:00,26.30K, 
1982年8月1日 (七月)17:00,29.20K, 
1982年7月1日 (六月)17:00,30.50K, 
1982年6月1日 (五月)17:00,14.40K, 
1982年5月1日 (四月)17:00,28.50K, 
1982年4月1日 (三月)17:00,10.00K, 
1982年3月1日 (二月)17:00,12.70K, 
1982年2月1日 (一月)17:00,29.50K, 
1982年1月1日 (十二月)17:00,18.70K, 
1981年12月1日 (十一月)17:00,34.60K, 
