时间,今值,预测值
1992年2月1日 (一月)17:00,1.80K, 
1992年1月1日 (十二月)17:00,29.10K, 
1991年12月1日 (十一月)17:00,-73.10K, 
1991年11月1日 (十月)17:00,8.50K, 
1991年10月1日 (九月)17:00,-0.70K, 
1991年9月1日 (八月)17:00,3.80K, 
1991年8月1日 (七月)17:00,-15.00K, 
1991年7月1日 (六月)17:00,-29.30K, 
1991年6月1日 (五月)17:00,-4.70K, 
1991年5月1日 (四月)17:00,-20.00K, 
1991年4月1日 (三月)17:00,-47.70K, 
1991年3月1日 (二月)17:00,-41.50K, 
1991年2月1日 (一月)17:00,-41.30K, 
1991年1月1日 (十二月)17:00,-12.90K, 
1990年12月1日 (十一月)17:00,-10.80K, 
1990年11月1日 (十月)17:00,-43.60K, 
1990年10月1日 (九月)17:00,-15.00K, 
1990年9月1日 (八月)17:00,-22.30K, 
1990年8月1日 (七月)17:00,0.00K, 
1990年7月1日 (六月)17:00,7.20K, 
1990年6月1日 (五月)17:00,24.40K, 
1990年5月1日 (四月)17:00,-11.90K, 
1990年4月1日 (三月)17:00,10.60K, 
1990年3月1日 (二月)17:00,4.00K, 
1990年2月1日 (一月)17:00,11.50K, 
1990年1月1日 (十二月)17:00,-33.10K, 
1989年12月1日 (十一月)17:00,45.30K, 
1989年11月1日 (十月)17:00,20.30K, 
1989年10月1日 (九月)17:00,-10.90K, 
1989年9月1日 (八月)17:00,18.00K, 
1989年8月1日 (七月)17:00,3.50K, 
1989年7月1日 (六月)17:00,14.80K, 
1989年6月1日 (五月)17:00,15.50K, 
1989年5月1日 (四月)17:00,29.50K, 
1989年4月1日 (三月)17:00,21.70K, 
1989年3月1日 (二月)17:00,39.40K, 
1989年2月1日 (一月)17:00,13.60K, 
1989年1月1日 (十二月)17:00,6.70K, 
1988年12月1日 (十一月)17:00,-9.00K, 
1988年11月1日 (十月)17:00,43.10K, 
1988年10月1日 (九月)17:00,29.30K, 
1988年9月1日 (八月)17:00,16.50K, 
1988年8月1日 (七月)17:00,24.60K, 
1988年7月1日 (六月)17:00,6.30K, 
1988年6月1日 (五月)17:00,-9.50K, 
1988年5月1日 (四月)17:00,23.00K, 
1988年4月1日 (三月)17:00,22.80K, 
1988年3月1日 (二月)17:00,3.70K, 
1988年2月1日 (一月)17:00,46.50K, 
1988年1月1日 (十二月)17:00,77.00K, 
1987年12月1日 (十一月)17:00,-37.80K, 
1987年11月1日 (十月)17:00,28.80K, 
1987年10月1日 (九月)17:00,-1.20K, 
1987年9月1日 (八月)17:00,-38.90K, 
1987年8月1日 (七月)17:00,48.40K, 
1987年7月1日 (六月)17:00,18.40K, 
1987年6月1日 (五月)17:00,4.20K, 
1987年5月1日 (四月)17:00,13.20K, 
1987年4月1日 (三月)17:00,7.60K, 
1987年3月1日 (二月)17:00,11.70K, 
1987年2月1日 (一月)17:00,8.90K, 
1987年1月1日 (十二月)17:00,-10.10K, 
1986年12月1日 (十一月)17:00,-13.70K, 
1986年11月1日 (十月)17:00,11.40K, 
1986年10月1日 (九月)17:00,9.80K, 
1986年9月1日 (八月)17:00,16.00K, 
1986年8月1日 (七月)17:00,-34.30K, 
1986年7月1日 (六月)17:00,29.20K, 
1986年6月1日 (五月)17:00,4.50K, 
1986年5月1日 (四月)17:00,16.40K, 
1986年4月1日 (三月)17:00,-15.60K, 
1986年3月1日 (二月)17:00,15.90K, 
1986年2月1日 (一月)17:00,42.40K, 
1986年1月1日 (十二月)17:00,-0.70K, 
1985年12月1日 (十一月)17:00,67.40K, 
1985年11月1日 (十月)17:00,-25.90K, 
1985年10月1日 (九月)17:00,25.10K, 
1985年9月1日 (八月)17:00,44.90K, 
1985年8月1日 (七月)17:00,17.70K, 
1985年7月1日 (六月)17:00,6.00K, 
1985年6月1日 (五月)17:00,23.30K, 
1985年5月1日 (四月)17:00,-6.60K, 
1985年4月1日 (三月)17:00,3.80K, 
1985年3月1日 (二月)17:00,22.80K, 
1985年2月1日 (一月)17:00,6.20K, 
1985年1月1日 (十二月)17:00,13.90K, 
1984年12月1日 (十一月)17:00,20.10K, 
1984年11月1日 (十月)17:00,13.00K, 
1984年10月1日 (九月)17:00,-10.00K, 
1984年9月1日 (八月)17:00,13.50K, 
