时间,今值,预测值
2013年10月17日20:30,"2,859K","2,915K"
2013年10月10日20:30,"2,905K","2,900K"
2013年10月3日20:30,"2,925K","2,810K"
2013年9月26日20:30,"2,823K","2,840K"
2013年9月19日20:30,"2,787K","2,900K"
2013年9月12日20:30,"2,871K","2,960K"
2013年9月5日20:30,"2,951K","2,980K"
2013年8月29日20:30,"2,989K","2,980K"
2013年8月22日20:30,"2,999K","2,960K"
2013年8月15日20:30,"2,969K","3,000K"
2013年8月8日20:30,"3,018K","2,950K"
2013年8月1日20:30,"2,951K","2,994K"
2013年7月25日20:30,"2,997K","3,000K"
2013年7月18日20:30,"3,114K","2,959K"
2013年7月11日20:30,"2,977K","2,950K"
2013年7月3日20:30,"2,933K","2,953K"
2013年6月27日20:30,"2,965K","2,950K"
2013年6月20日20:30,"2,951K","2,960K"
2013年6月13日20:30,"2,973K","2,975K"
2013年6月6日20:30,"2,952K","2,975K"
2013年5月30日20:30,"2,986K","2,950K"
2013年5月23日20:30,"2,912K","3,000K"
2013年5月16日20:30,"3,009K","3,000K"
2013年5月9日20:30,"3,005K","3,020K"
2013年5月2日20:30,"3,019K","3,028K"
2013年4月25日20:30,"3,000K","3,060K"
2013年4月18日20:30,"3,068K","3,075K"
2013年4月11日20:30,"3,079K","3,066K"
2013年4月4日20:30,"3,063K","3,050K"
2013年3月28日20:30,"3,050K","3,043K"
2013年3月21日20:30,"3,053K","3,050K"
2013年3月14日20:30,"3,024K","3,100K"
2013年3月7日21:30,"3,094K","3,110K"
2013年2月28日21:30,"3,074K","3,160K"
2013年2月21日21:30,"3,148K","3,170K"
2013年2月14日21:30,"3,114K","3,200K"
2013年2月7日21:30,"3,224K","3,195K"
2013年1月31日21:30,"3,197K","3,176K"
2013年1月24日21:30,"3,157K","3,200K"
2013年1月17日21:30,"3,214K","3,159K"
2013年1月10日21:30,"3,109K","3,230K"
2013年1月3日21:30,"3,245K","3,215K"
2012年12月27日21:30,"3,206K","3,200K"
2012年12月20日21:30,"3,225K","3,199K"
2012年12月13日21:30,"3,198K","3,210K"
2012年12月6日21:30,"3,205K","3,275K"
2012年11月29日21:30,"3,287K","3,323K"
2012年11月21日21:30,"3,337K","3,345K"
2012年11月15日21:30,"3,334K","3,210K"
2012年11月8日21:30,"3,127K","3,253K"
2012年11月1日20:30,"3,263K","3,250K"
2012年10月25日20:30,"3,254K","3,255K"
2012年10月18日20:30,"3,252K","3,275K"
2012年10月11日20:30,"3,273K","3,275K"
2012年10月4日20:30,"3,281K","3,271K"
2012年9月27日20:30,"3,271K","3,285K"
2012年9月20日20:30,"3,272K","3,300K"
2012年9月13日20:30,"3,283K","3,318K"
2012年9月6日20:30,"3,322K","3,315K"
2012年8月30日20:30,"3,316K","3,307K"
2012年8月23日20:30,"3,317K","3,300K"
2012年8月16日20:30,"3,305K","3,300K"
2012年8月9日20:30,"3,332K","3,280K"
2012年8月2日20:30,"3,272K","3,290K"
2012年7月26日20:30,"3,287K","3,310K"
2012年7月19日20:30,"3,314K","3,299K"
2012年7月12日20:30,"3,304K","3,300K"
2012年7月5日20:30,"3,306K","3,300K"
2012年6月28日20:30,"3,296K","3,280K"
2012年6月21日20:30,"3,299K","3,275K"
2012年6月14日20:30,"3,278K","3,269K"
2012年6月7日20:30,"3,293K","3,245K"
2012年5月31日20:30,"3,242K","3,250K"
2012年5月24日20:30,"3,260K","3,250K"
2012年5月17日20:30,"3,265K","3,235K"
2012年5月10日20:30,"3,229K","3,278K"
2012年5月3日20:30,"3,276K","3,311K"
2012年4月26日20:30,"3,315K","3,295K"
2012年4月19日20:30,"3,297K","3,280K"
2012年4月12日20:30,"3,251K","3,335K"
2012年4月5日20:30,"3,338K","3,350K"
2012年3月29日20:30,"3,340K","3,365K"
2012年3月22日20:30,"3,352K","3,390K"
2012年3月15日20:30,"3,343K","3,405K"
2012年3月8日21:30,"3,416K","3,385K"
2012年3月1日21:30,"3,402K","3,400K"
2012年2月23日21:30,"3,392K","3,460K"
2012年2月16日21:30,"3,426K","3,550K"
2012年2月9日21:30,"3,515K","3,525K"
2012年2月2日21:30,"3,437K","3,565K"
2012年1月26日21:30,"3,554K","3,500K"
2012年1月19日21:30,"3,432K","3,590K"
2012年1月12日21:30,"3,628K","3,550K"
2012年1月5日21:30,"3,595K","3,573K"
2011年12月29日21:30,"3,601K","3,590K"
2011年12月22日21:30,"3,546K","3,600K"
2011年12月15日21:30,"3,603K","3,640K"
2011年12月8日21:30,"3,583K","3,700K"
2011年12月1日21:30,"3,740K","3,650K"
2011年11月23日21:30,"3,691K","3,615K"
2011年11月17日21:30,"3,608K","3,608K"
2011年11月10日21:30,"3,615K","3,680K"
2011年11月3日20:30,"3,683K","3,640K"
2011年10月27日20:30,"3,645K","3,690K"
2011年10月20日20:30,"3,719K","3,650K"
2011年10月13日20:30,"3,670K","3,700K"
2011年10月6日20:30,"3,700K","3,725K"
2011年9月29日20:30,"3,729K","3,720K"
2011年9月22日20:30,"3,727K","3,720K"
2011年9月15日20:30,"3,726K","3,700K"
2011年9月8日20:30,"3,717K","3,705K"
2011年9月1日20:30,"3,735K","3,685K"
2011年8月25日20:30,"3,641K","3,700K"
2011年8月18日20:30,"3,702K","3,700K"
