时间,今值,预测值
1983年2月1日 (一月)17:00,182.00K, 
1983年1月1日 (十二月)17:00,-18.00K, 
1982年12月1日 (十一月)17:00,-144.00K, 
1982年11月1日 (十月)17:00,-310.00K, 
1982年10月1日 (九月)17:00,-174.00K, 
1982年9月1日 (八月)17:00,-198.00K, 
1982年8月1日 (七月)17:00,-216.00K, 
1982年7月1日 (六月)17:00,-256.00K, 
1982年6月1日 (五月)17:00,-38.00K, 
1982年5月1日 (四月)17:00,-266.00K, 
1982年4月1日 (三月)17:00,-143.00K, 
1982年3月1日 (二月)17:00,25.00K, 
1982年2月1日 (一月)17:00,-294.00K, 
1982年1月1日 (十二月)17:00,-273.00K, 
1981年12月1日 (十一月)17:00,-218.00K, 
1981年11月1日 (十月)17:00,-137.00K, 
1981年10月1日 (九月)17:00,-8.00K, 
1981年9月1日 (八月)17:00,29.00K, 
1981年8月1日 (七月)17:00,96.00K, 
1981年7月1日 (六月)17:00,236.00K, 
1981年6月1日 (五月)17:00,72.00K, 
1981年5月1日 (四月)17:00,105.00K, 
1981年4月1日 (三月)17:00,159.00K, 
1981年3月1日 (二月)17:00,82.00K, 
1981年2月1日 (一月)17:00,107.00K, 
1981年1月1日 (十二月)17:00,213.00K, 
1980年12月1日 (十一月)17:00,252.00K, 
1980年11月1日 (十月)17:00,225.00K, 
1980年10月1日 (九月)17:00,193.00K, 
1980年9月1日 (八月)17:00,268.00K, 
1980年8月1日 (七月)17:00,-239.00K, 
1980年7月1日 (六月)17:00,-307.00K, 
1980年6月1日 (五月)17:00,-302.00K, 
1980年5月1日 (四月)17:00,-431.00K, 
1980年4月1日 (三月)17:00,42.00K, 
1980年3月1日 (二月)17:00,55.00K, 
1980年2月1日 (一月)17:00,108.00K, 
1980年1月1日 (十二月)17:00,90.00K, 
1979年12月1日 (十一月)17:00,57.00K, 
1979年11月1日 (十月)17:00,149.00K, 
1979年10月1日 (九月)17:00,129.00K, 
1979年9月1日 (八月)17:00,3.00K, 
1979年8月1日 (七月)17:00,1.00K, 
1979年7月1日 (六月)17:00,263.00K, 
1979年6月1日 (五月)17:00,360.00K, 
1979年5月1日 (四月)17:00,-83.00K, 
1979年4月1日 (三月)17:00,417.00K, 
1979年3月1日 (二月)17:00,234.00K, 
1979年2月1日 (一月)17:00,111.00K, 
1979年1月1日 (十二月)17:00,265.00K, 
1978年12月1日 (十一月)17:00,401.00K, 
1978年11月1日 (十月)17:00,297.00K, 
1978年10月1日 (九月)17:00,209.00K, 
1978年9月1日 (八月)17:00,286.00K, 
1978年8月1日 (七月)17:00,205.00K, 
1978年7月1日 (六月)17:00,424.00K, 
1978年6月1日 (五月)17:00,309.00K, 
1978年5月1日 (四月)17:00,636.00K, 
1978年4月1日 (三月)17:00,453.00K, 
1978年3月1日 (二月)17:00,293.00K, 
1978年2月1日 (一月)17:00,114.00K, 
1978年1月1日 (十二月)17:00,212.00K, 
1977年12月1日 (十一月)17:00,327.00K, 
1977年11月1日 (十月)17:00,202.00K, 
1977年10月1日 (九月)17:00,383.00K, 
1977年9月1日 (八月)17:00,209.00K, 
1977年8月1日 (七月)17:00,256.00K, 
1977年7月1日 (六月)17:00,324.00K, 
1977年6月1日 (五月)17:00,303.00K, 
1977年5月1日 (四月)17:00,313.00K, 
1977年4月1日 (三月)17:00,409.00K, 
1977年3月1日 (二月)17:00,296.00K, 
1977年2月1日 (一月)17:00,263.00K, 
1977年1月1日 (十二月)17:00,209.00K, 
1976年12月1日 (十一月)17:00,287.00K, 
1976年11月1日 (十月)17:00,-44.00K, 
1976年10月1日 (九月)17:00,224.00K, 
1976年9月1日 (八月)17:00,143.00K, 
1976年8月1日 (七月)17:00,141.00K, 
1976年7月1日 (六月)17:00,73.00K, 
1976年6月1日 (五月)17:00,33.00K, 
1976年5月1日 (四月)17:00,245.00K, 
1976年4月1日 (三月)17:00,226.00K, 
1976年3月1日 (二月)17:00,299.00K, 
1976年2月1日 (一月)17:00,465.00K, 
1976年1月1日 (十二月)17:00,295.00K, 
1975年12月1日 (十一月)17:00,142.00K, 
1975年11月1日 (十月)17:00,229.00K, 
1975年10月1日 (九月)17:00,121.00K, 
1975年9月1日 (八月)17:00,377.00K, 
1975年8月1日 (七月)17:00,172.00K, 
1975年7月1日 (六月)17:00,-60.00K, 
1975年6月1日 (五月)17:00,130.00K, 
1975年5月1日 (四月)17:00,-229.00K, 
1975年4月1日 (三月)17:00,-277.00K, 
1975年3月1日 (二月)17:00,-501.00K, 
1975年2月1日 (一月)17:00,-425.00K, 
1975年1月1日 (十二月)17:00,-631.00K, 
1974年12月1日 (十一月)17:00,-416.00K, 
1974年11月1日 (十月)17:00,-44.00K, 
1974年10月1日 (九月)17:00,-102.00K, 
1974年9月1日 (八月)17:00,-56.00K, 
1974年8月1日 (七月)17:00,-16.00K, 
1974年7月1日 (六月)17:00,37.00K, 
1974年6月1日 (五月)17:00,135.00K, 
1974年5月1日 (四月)17:00,47.00K, 
1974年4月1日 (三月)17:00,25.00K, 
1974年3月1日 (二月)17:00,105.00K, 
1974年2月1日 (一月)17:00,49.00K, 
1974年1月1日 (十二月)17:00,88.00K, 
1973年12月1日 (十一月)17:00,248.00K, 
1973年11月1日 (十月)17:00,245.00K, 
1973年10月1日 (九月)17:00,122.00K, 
1973年9月1日 (八月)17:00,216.00K, 
1973年8月1日 (七月)17:00,31.00K, 
1973年7月1日 (六月)17:00,186.00K, 
1973年6月1日 (五月)17:00,151.00K, 
1973年5月1日 (四月)17:00,138.00K, 
1973年4月1日 (三月)17:00,234.00K, 
1973年3月1日 (二月)17:00,375.00K, 
1973年2月1日 (一月)17:00,345.00K, 
1973年1月1日 (十二月)17:00,262.00K, 
1972年12月1日 (十一月)17:00,257.00K, 
1972年11月1日 (十月)17:00,379.00K, 
1972年10月1日 (九月)17:00,80.00K, 
1972年9月1日 (八月)17:00,382.00K, 
1972年8月1日 (七月)17:00,-129.00K, 
1972年7月1日 (六月)17:00,304.00K, 
1972年6月1日 (五月)17:00,246.00K, 
1972年5月1日 (四月)17:00,189.00K, 
1972年4月1日 (三月)17:00,262.00K, 
1972年3月1日 (二月)17:00,175.00K, 
1972年2月1日 (一月)17:00,261.00K, 
1972年1月1日 (十二月)17:00,220.00K, 
1971年12月1日 (十一月)17:00,171.00K, 
1971年11月1日 (十月)17:00,-22.00K, 
1971年10月1日 (九月)17:00,220.00K, 
1971年9月1日 (八月)17:00,25.00K, 
1971年8月1日 (七月)17:00,59.00K, 
1971年7月1日 (六月)17:00,-32.00K, 
1971年6月1日 (五月)17:00,185.00K, 
1971年5月1日 (四月)17:00,141.00K, 
1971年4月1日 (三月)17:00,22.00K, 
1971年3月1日 (二月)17:00,-59.00K, 
1971年2月1日 (一月)17:00,43.00K, 
1971年1月1日 (十二月)17:00,366.00K, 
1970年12月1日 (十一月)17:00,-147.00K, 
1970年11月1日 (十月)17:00,-481.00K, 
1970年10月1日 (九月)17:00,-15.00K, 
1970年9月1日 (八月)17:00,-134.00K, 
1970年8月1日 (七月)17:00,-6.00K, 
1970年7月1日 (六月)17:00,-93.00K, 
1970年6月1日 (五月)17:00,-188.00K, 
1970年5月1日 (四月)17:00,-206.00K, 
1970年4月1日 (三月)17:00,63.00K, 
1970年3月1日 (二月)17:00,106.00K, 
1970年2月1日 (一月)17:00,-83.00K, 
1970年1月1日 (十二月)17:00,124.00K, 
