时间,今值,预测值
1991年9月1日 (八月)17:00,-0.20K, 
1991年8月1日 (七月)17:00,-19.90K, 
1991年7月1日 (六月)17:00,-29.10K, 
1991年6月1日 (五月)17:00,-15.10K, 
1991年5月1日 (四月)17:00,-3.80K, 
1991年4月1日 (三月)17:00,-52.50K, 
1991年3月1日 (二月)17:00,5.10K, 
1991年2月1日 (一月)17:00,-61.20K, 
1991年1月1日 (十二月)17:00,-5.60K, 
1990年12月1日 (十一月)17:00,-15.40K, 
1990年11月1日 (十月)17:00,-9.60K, 
1990年10月1日 (九月)17:00,-25.20K, 
1990年9月1日 (八月)17:00,-31.70K, 
1990年8月1日 (七月)17:00,-0.80K, 
1990年7月1日 (六月)17:00,9.70K, 
1990年6月1日 (五月)17:00,24.30K, 
1990年5月1日 (四月)17:00,2.30K, 
1990年4月1日 (三月)17:00,19.00K, 
1990年3月1日 (二月)17:00,13.50K, 
1990年2月1日 (一月)17:00,4.40K, 
1990年1月1日 (十二月)17:00,-21.90K, 
1989年12月1日 (十一月)17:00,51.80K, 
1989年11月1日 (十月)17:00,12.80K, 
1989年10月1日 (九月)17:00,8.90K, 
1989年9月1日 (八月)17:00,37.10K, 
1989年8月1日 (七月)17:00,28.50K, 
1989年7月1日 (六月)17:00,4.60K, 
1989年6月1日 (五月)17:00,52.50K, 
1989年5月1日 (四月)17:00,28.30K, 
1989年4月1日 (三月)17:00,19.40K, 
1989年3月1日 (二月)17:00,56.70K, 
1989年2月1日 (一月)17:00,29.70K, 
1989年1月1日 (十二月)17:00,30.40K, 
1988年12月1日 (十一月)17:00,16.50K, 
1988年11月1日 (十月)17:00,17.50K, 
1988年10月1日 (九月)17:00,43.70K, 
1988年9月1日 (八月)17:00,30.50K, 
1988年8月1日 (七月)17:00,22.60K, 
1988年7月1日 (六月)17:00,16.10K, 
1988年6月1日 (五月)17:00,-13.20K, 
1988年5月1日 (四月)17:00,28.80K, 
1988年4月1日 (三月)17:00,43.70K, 
1988年3月1日 (二月)17:00,-14.80K, 
1988年2月1日 (一月)17:00,63.40K, 
1988年1月1日 (十二月)17:00,78.50K, 
1987年12月1日 (十一月)17:00,-17.40K, 
1987年11月1日 (十月)17:00,30.60K, 
1987年10月1日 (九月)17:00,-14.20K, 
1987年9月1日 (八月)17:00,-16.70K, 
1987年8月1日 (七月)17:00,47.60K, 
1987年7月1日 (六月)17:00,33.30K, 
1987年6月1日 (五月)17:00,12.20K, 
1987年5月1日 (四月)17:00,15.00K, 
1987年4月1日 (三月)17:00,8.80K, 
1987年3月1日 (二月)17:00,27.60K, 
1987年2月1日 (一月)17:00,3.70K, 
1987年1月1日 (十二月)17:00,20.30K, 
1986年12月1日 (十一月)17:00,-19.60K, 
1986年11月1日 (十月)17:00,25.40K, 
1986年10月1日 (九月)17:00,27.60K, 
1986年9月1日 (八月)17:00,-17.00K, 
1986年8月1日 (七月)17:00,-16.60K, 
1986年7月1日 (六月)17:00,36.60K, 
1986年6月1日 (五月)17:00,-1.40K, 
1986年5月1日 (四月)17:00,71.10K, 
1986年4月1日 (三月)17:00,8.30K, 
1986年3月1日 (二月)17:00,13.80K, 
1986年2月1日 (一月)17:00,52.40K, 
1986年1月1日 (十二月)17:00,-26.70K, 
1985年12月1日 (十一月)17:00,90.10K, 
1985年11月1日 (十月)17:00,-13.40K, 
1985年10月1日 (九月)17:00,40.40K, 
1985年9月1日 (八月)17:00,49.10K, 
1985年8月1日 (七月)17:00,25.80K, 
1985年7月1日 (六月)17:00,10.40K, 
1985年6月1日 (五月)17:00,38.40K, 
1985年5月1日 (四月)17:00,10.70K, 
1985年4月1日 (三月)17:00,-25.80K, 
1985年3月1日 (二月)17:00,54.50K, 
1985年2月1日 (一月)17:00,15.30K, 
1985年1月1日 (十二月)17:00,9.60K, 
1984年12月1日 (十一月)17:00,8.40K, 
1984年11月1日 (十月)17:00,0.70K, 
1984年10月1日 (九月)17:00,27.30K, 
1984年9月1日 (八月)17:00,-1.00K, 
1984年8月1日 (七月)17:00,9.70K, 
1984年7月1日 (六月)17:00,19.90K, 
1984年6月1日 (五月)17:00,23.00K, 
1984年5月1日 (四月)17:00,9.70K, 
1984年4月1日 (三月)17:00,55.60K, 
1984年3月1日 (二月)17:00,16.90K, 
1984年2月1日 (一月)17:00,-5.70K, 
1984年1月1日 (十二月)17:00,29.70K, 
1983年12月1日 (十一月)17:00,33.90K, 
1983年11月1日 (十月)17:00,4.60K, 
1983年10月1日 (九月)17:00,25.70K, 
1983年9月1日 (八月)17:00,10.30K, 
1983年8月1日 (七月)17:00,6.00K, 
1983年7月1日 (六月)17:00,6.10K, 
1983年6月1日 (五月)17:00,28.40K, 
1983年5月1日 (四月)17:00,-20.70K, 
1983年4月1日 (三月)17:00,-33.70K, 
1983年3月1日 (二月)17:00,-1.30K, 
1983年2月1日 (一月)17:00,-5.40K, 
1983年1月1日 (十二月)17:00,-48.50K, 
1982年12月1日 (十一月)17:00,-56.00K, 
1982年11月1日 (十月)17:00,5.70K, 
