时间,今值,预测值
2013年3月6日05:30,5.60M,0.69M
2013年2月27日05:30,0.90M,2.28M
2013年2月21日05:30,2.96M,2.35M
2013年2月13日05:30,-2.31M,2.35M
2013年2月6日05:30,3.63M,2.75M
2013年1月30日05:30,4.16M,2.60M
2013年1月24日05:30,3.17M,2.10M
2013年1月16日05:30,0.05M,2.03M
2013年1月9日05:30,2.36M,-0.25M
2013年1月4日05:30,-12.03M,-0.63M
2012年12月28日05:30,-1.17M,-1.86M
2012年12月19日05:30,-4.10M,-1.03M
2012年12月12日05:30,4.27M,-1.87M
2012年12月5日05:30,-2.22M,0.10M
2012年11月28日05:30,1.96M,1.25M
2012年11月21日05:30,-1.92M,0.85M
2012年11月15日05:30,1.35M,1.93M
2012年11月7日05:30,-0.03M,0.90M
2012年10月31日04:30,2.12M,1.54M
2012年10月24日04:30,0.31M,1.68M
2012年10月17日04:30,3.70M,1.48M
2012年10月11日04:30,1.65M,1.03M
2012年10月3日04:30,0.46M,1.47M
2012年9月26日04:30,0.34M,1.40M
2012年9月19日04:30,2.43M,0.23M
2012年9月12日04:30,0.22M,-2.08M
2012年9月6日04:30,-7.21M,-5.25M
2012年8月29日04:30,5.46M,-1.78M
2012年8月22日04:30,-6.04M,0.05M
2012年8月15日04:30,2.78M,-1.73M
2012年8月8日04:30,-5.35M,-0.54M
2012年8月1日04:30,-11.61M,-1.60M
2012年7月25日04:30,1.35M,-0.65M
2012年7月18日04:30,-2.01M,-0.50M
2012年7月11日04:30,-0.70M,-1.10M
2012年7月4日04:30,-3.03M,-2.20M
2012年6月27日04:30,0.51M,-0.73M
2012年6月20日04:30,-0.55M,-1.00M
2012年6月13日04:30,1.59M,-1.50M
2012年6月6日04:30,-1.77M,-0.90M
2012年5月31日04:30,-0.35M,0.47M
2012年5月23日04:30,1.48M,0.96M
2012年5月16日04:30,6.57M,1.53M
2012年5月9日04:30,7.78M,2.00M
2012年5月2日04:30,2.04M,2.26M
2012年4月25日04:30,-0.99M,2.93M
2012年4月18日04:30,3.41M,1.57M
2012年4月11日04:30,6.58M,2.08M
2012年4月4日04:30,7.85M,2.21M
2012年3月28日04:30,3.60M,2.77M
