时间,今值,预测值
2010年3月31日22:30,2.900M, 
2010年3月24日22:30,7.300M, 
2010年3月17日22:30,1.000M, 
2010年3月10日23:30,1.400M,2.000M
2010年3月3日23:30,4.100M, 
2010年2月24日23:30,3.000M, 
2010年2月19日00:00,3.100M, 
2010年2月13日00:00,2.400M, 
2010年2月3日23:30,2.300M, 
2010年1月27日23:30,-3.900M, 
2010年1月22日00:00,-0.400M, 
2010年1月13日23:30,3.700M,1.300M
2010年1月6日23:30,1.300M, 
2009年12月30日23:30,-1.500M, 
2009年12月23日23:30,-4.900M, 
2009年12月16日23:30,-3.700M,-2.000M
2009年12月9日23:30,-3.800M, 
2009年12月2日23:30,2.100M, 
2009年11月25日23:30,1.000M, 
2009年11月18日23:30,-0.900M, 
2009年11月13日00:00,1.800M, 
2009年11月4日23:30,-4.000M, 
2009年10月28日22:30,0.800M, 
2009年10月21日22:30,1.300M, 
2009年10月15日23:00,0.400M, 
2009年10月7日22:30,-1.000M, 
2009年9月30日22:30,2.800M, 
2009年9月23日22:30,2.800M, 
2009年9月16日22:30,-4.700M, 
2009年9月10日23:00,-5.900M, 
2009年9月2日22:30,-0.400M, 
2009年8月26日22:30,0.200M, 
2009年8月19日22:30,-8.400M, 
2009年8月12日22:30,2.500M, 
2009年8月5日22:30,1.700M, 
2009年7月29日22:30,5.100M, 
2009年7月22日22:30,-1.800M, 
2009年7月15日22:30,-2.800M, 
2009年7月8日22:30,-2.900M, 
2009年7月1日22:30,-3.700M, 
2009年6月24日22:30,-3.800M, 
2009年6月17日22:30,-3.900M, 
2009年6月10日22:30,-4.400M, 
2009年6月3日22:30,2.900M, 
2009年5月28日23:30,-5.400M, 
2009年5月20日22:30,-2.100M, 
2009年5月13日22:30,-4.700M, 
2009年5月6日22:30,0.600M, 
2009年4月29日22:30,4.100M, 
2009年4月22日22:30,3.900M,2.300M
2009年4月15日22:30,5.600M, 
2009年4月8日22:30,1.700M, 
2009年4月1日22:30,2.800M, 
2009年3月25日22:30,3.300M,1.200M
2009年3月18日22:30,2.000M, 
