时间,今值,预测值
1989年11月1日 (十月)17:00,46.80, 
1989年10月1日 (九月)17:00,46.00, 
1989年9月1日 (八月)17:00,45.10, 
1989年8月1日 (七月)17:00,45.90, 
1989年7月1日 (六月)17:00,47.30, 
1989年6月1日 (五月)17:00,49.30, 
1989年5月1日 (四月)17:00,52.20, 
1989年4月1日 (三月)17:00,51.50, 
1989年3月1日 (二月)17:00,54.10, 
1989年2月1日 (一月)17:00,54.70, 
1989年1月1日 (十二月)17:00,56.00, 
1988年12月1日 (十一月)17:00,55.60, 
1988年11月1日 (十月)17:00,55.40, 
1988年10月1日 (九月)17:00,54.50, 
1988年9月1日 (八月)17:00,56.00, 
1988年8月1日 (七月)17:00,58.20, 
1988年7月1日 (六月)17:00,59.30, 
1988年6月1日 (五月)17:00,55.50, 
1988年5月1日 (四月)17:00,55.80, 
1988年4月1日 (三月)17:00,54.60, 
1988年3月1日 (二月)17:00,56.20, 
1988年2月1日 (一月)17:00,57.50, 
1988年1月1日 (十二月)17:00,61.00, 
1987年12月1日 (十一月)17:00,58.80, 
1987年11月1日 (十月)17:00,60.70, 
1987年10月1日 (九月)17:00,60.00, 
1987年9月1日 (八月)17:00,59.30, 
1987年8月1日 (七月)17:00,57.50, 
1987年7月1日 (六月)17:00,57.40, 
1987年6月1日 (五月)17:00,57.20, 
1987年5月1日 (四月)17:00,55.50, 
1987年4月1日 (三月)17:00,55.00, 
1987年3月1日 (二月)17:00,52.60, 
1987年2月1日 (一月)17:00,54.90, 
1987年1月1日 (十二月)17:00,50.50, 
1986年12月1日 (十一月)17:00,51.20, 
1986年11月1日 (十月)17:00,51.20, 
1986年10月1日 (九月)17:00,52.40, 
1986年9月1日 (八月)17:00,52.60, 
1986年8月1日 (七月)17:00,48.00, 
1986年7月1日 (六月)17:00,50.50, 
1986年6月1日 (五月)17:00,53.40, 
1986年5月1日 (四月)17:00,49.70, 
1986年4月1日 (三月)17:00,51.00, 
1986年3月1日 (二月)17:00,51.00, 
1986年2月1日 (一月)17:00,51.20, 
1986年1月1日 (十二月)17:00,50.70, 
1985年12月1日 (十一月)17:00,52.00, 
1985年11月1日 (十月)17:00,50.90, 
1985年10月1日 (九月)17:00,49.90, 
1985年9月1日 (八月)17:00,47.70, 
1985年8月1日 (七月)17:00,47.90, 
