时间,今值,预测值
1993年11月1日 (十月)17:00,-96.50, 
1993年10月1日 (九月)17:00,-96.00, 
1993年9月1日 (八月)17:00,-97.10, 
1993年8月1日 (七月)17:00,-96.90, 
1993年7月1日 (六月)17:00,-98.10, 
1993年6月1日 (五月)17:00,-97.20, 
1993年5月1日 (四月)17:00,-96.30, 
1993年4月1日 (三月)17:00,-96.20, 
1993年3月1日 (二月)17:00,-96.20, 
1993年2月1日 (一月)17:00,-93.30, 
1993年1月1日 (十二月)17:00,-89.80, 
1992年12月1日 (十一月)17:00,-81.20, 
1992年11月1日 (十月)17:00,-63.30, 
1992年10月1日 (九月)17:00,-48.50, 
1992年9月1日 (八月)17:00,-31.30, 
1992年8月1日 (七月)17:00,-9.80, 
1992年7月1日 (六月)17:00,-6.20, 
1992年6月1日 (五月)17:00,-11.70, 
1992年5月1日 (四月)17:00,-14.30, 
1992年4月1日 (三月)17:00,-5.80, 
1992年3月1日 (二月)17:00,0.10, 
1992年2月1日 (一月)17:00,3.20, 
1992年1月1日 (十二月)17:00,9.20, 
